section,category,description,date,metric,value
Hospital Data,Hospital Level,Summary,NA,Facilities Updating Within Last Day,0.87
Hospital Data,Hospital Level,Summary,NA,Confirmed COVID-19 Patients,317
Hospital Data,Hospital Level,Summary,NA,COVID-19 Persons Under Investigation,88
Hospital Data,Hospital Level,Summary,NA,Patients Discharged or Transferred Within 24 Hours,46
Hospital Data,Hospital Level,Summary,NA,Facilities Anticipating Staff Shortages Within Next Week,0.03
Hospital Data,Hospital Level,Summary,NA,Facilities Anticipating PPE Shortages Within Next Week,0.01
Hospital Data,Hospital Level,Summary,NA,Facilities Anticipating ICU Bed Shortages Within Next Week,0.02
Hospital Data,Hospital Level,Summary,NA,Adult Critical Care Ventilators in Use,0.34
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-05,ICU Hospital Beds in Use,1147
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-05,Total ICU Hospital Beds,1592
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-05,Percent of ICU Hospital Beds in Use,0.72
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-05,Acute Care Hospital Beds in Use,5036
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-05,Total Acute Care Hospital Beds,7749
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-05,Percent of Acute Care Hospital Beds in Use,0.65
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-06,ICU Hospital Beds in Use,1215
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-06,Total ICU Hospital Beds,1669
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-06,Percent of ICU Hospital Beds in Use,0.73
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-06,Acute Care Hospital Beds in Use,5212
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-06,Total Acute Care Hospital Beds,7952
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-06,Percent of Acute Care Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-07,ICU Hospital Beds in Use,1273
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-07,Total ICU Hospital Beds,1774
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-07,Percent of ICU Hospital Beds in Use,0.72
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-07,Acute Care Hospital Beds in Use,5514
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-07,Total Acute Care Hospital Beds,8134
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-07,Percent of Acute Care Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-08,ICU Hospital Beds in Use,1200
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-08,Total ICU Hospital Beds,1774
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-08,Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-08,Acute Care Hospital Beds in Use,5406
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-08,Total Acute Care Hospital Beds,8006
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-08,Percent of Acute Care Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-09,ICU Hospital Beds in Use,1174
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-09,Total ICU Hospital Beds,1774
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-09,Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-09,Acute Care Hospital Beds in Use,5355
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-09,Total Acute Care Hospital Beds,8005
